title,reference,identified through database searching,source,study year,screened,full text screened,relevant intervention,low- or middle-income country,RCT,includes children under 5,authors contacted,authors responded ,mortality data collected,mortality data still available,include
The role of faecal microbiota transplantation: looking beyond Clostridioides difficile infection,,1,New addition,2021,1,0,0,,,,,,,,
The role of gut microbiota in the treatment of irritable bowel syndrome,,1,New addition,2022,1,0,0,,,,,,,,
Therapeutic advances in gut microbiome modulation in patients with inflammatory bowel disease from pediatrics to adulthood,,1,New addition,2021,1,0,0,,,,,,,,
Therapeutic Pipeline in Alcohol-Associated Liver Disease,,1,New addition,2023,1,0,0,,,,,,,,
VAGINAL MICROBIOTA TRANSPLANTATION,,1,New addition,2023,1,0,0,,,,,,,,
We need more evidence about the risks and benefits of giving children faecal microbiota transplants,,1,New addition,2024,1,0,0,,,,,,,,
Microbiota-gut-brain axis and its affect inflammatory bowel disease: Pathophysiological concepts and insights for clinicians,,1,New addition,2020,1,0,0,,,,,,,,
Can we change the natural course of inflammatory bowel disease?,,1,New addition,2023,1,0,0,,,,,,,,
Cefepime-Enmetazobactam: A Drug Review of a Novel Beta-Lactam/Beta-Lactamase Inhibitor,,1,New addition,2025,1,0,0,,,,,,,,
Characteristics and outcomes of children 2-23 months of age with prolonged diarrhoea: A secondary analysis of data from the 'Antibiotics for Children with Diarrhea' trial.,,1,New addition,2024,1,0,0,,,,,,,,
Characterizing the Effects of Calcium and Prebiotic Fiber on Human Gut Microbiota Composition and Function Using a Randomized Crossover Design-A Feasibility Study.,,1,New addition,2021,1,0,0,,,,,,,,
"Chemical and bacterial quality monitoring of the Nile River water and associated health risks in Qena–Sohag sector, Egypt",,1,New addition,2021,1,0,0,,,,,,,,
Chinese clinical practice guidelines for the prevention and treatment of radiation-induced rectal injury,,1,New addition,2023,1,0,0,,,,,,,,
Chinese herbal medicine for irinotecan-induced diarrhea: A systematic review and meta-analysis,,1,New addition,2024,1,0,0,,,,,,,,
Chinese herbal medicine for the treatment of human immunodeficiency virus/acquired immune deficiency syndrome-associated diarrhea: A protocol for the systematic review and meta-analysis of randomized clinical trials,,1,New addition,2020,1,0,0,,,,,,,,
Chitin-glucan supplementation improved postprandial metabolism and altered gut microbiota in subjects at cardiometabolic risk in a randomized trial.,,1,New addition,2022,1,0,0,,,,,,,,
"Cholera outbreak investigation, Bhadola, Delhi, India, April-May 2018",,1,New addition,2020,1,0,0,,,,,,,,
Cilostazol for intermittent claudication,,1,New addition,2021,1,0,0,,,,,,,,
Clarithromycin versus Levofloxacin Based Triple Drug Therapy as First Line Eradication for Helicobacter pylori Infection- A Randomised Clinical Study,,1,New addition,2022,1,0,0,,,,,,,,
Cleaning and disinfecting surfaces in hospitals and long-term care facilities for reducing hospital and facility-acquired bacterial and viral infections: A systematic review,,1,New addition,2021,1,0,0,,,,,,,,
Clinical Considerations in the Selection of Preexposure Prophylaxis for HIV Prevention in Canada,,1,New addition,2022,1,0,0,,,,,,,,
Clinical Effects and Safety of Compound Glutamine Entersoluble Capsules for Diarrhea-predominant Irritable Bowel Syndrome,,1,New addition,2022,1,0,0,,,,,,,,
Clinical effects of ursodeoxycholic acid on patients with ulcerative colitis may improve via the regulation of IL-23-IL-17 axis and the changes of the proportion of intestinal microflora.,,1,New addition,2021,1,0,0,,,,,,,,
Clinical Efficacy of Probiotics for Allergic Rhinitis: Results of an Exploratory Randomized Controlled Trial.,,1,New addition,2024,1,0,0,,,,,,,,
Clinical efficacy of probiotics in prevention of infectious diseases among hospitalized patients in ICU and non-ICU wards in clinical randomized trials: A systematic review,,1,New addition,2023,1,0,0,,,,,,,,
"Clinical efficacy, safety, and cost of nine Chinese patent medicines combined with ACEI/ARB in the treatment of early diabetic kidney disease: A network meta-analysis",,1,New addition,2022,1,0,0,,,,,,,,
Clinical evaluation of the synbiotic Prodefen Plus(R) in the prevention of the antibiotic-associated diarrhoea in subjects requiring antibiotic treatment.,,1,New addition,2020,1,0,0,,,,,,,,
Clinical significance of deblocking of nasal breathing in infants and children of early age with acute respiratory viral infections: advantages of isotonic seawater solution,,1,New addition,2024,1,0,0,,,,,,,,
Clinical Study of Single-Stranded Oligonucleotide RO7062931 in Healthy Volunteers and Patients With Chronic Hepatitis B.,,1,New addition,2021,1,0,0,,,,,,,,
"Clinical, experimental and pathophysiological effects of Yaq-001: a non-absorbable, gut-restricted adsorbent in models and patients with cirrhosis.",,1,New addition,2024,1,0,0,,,,,,,,
"Clostridioides difficile Infection: Updates on Epidemiologic Patterns, Diagnostic Tools, and Treatment Modalities",,1,New addition,2023,1,0,0,,,,,,,,
Coconut Water Induces Clinical Remission in Mild to Moderate Ulcerative Colitis: Double-blind Placebo-controlled Trial.,,1,New addition,2024,1,0,0,,,,,,,,
Coliphages as a complementary tool to improve the management of urban wastewater treatments and minimize health risks in receiving waters,,1,New addition,2021,1,0,0,,,,,,,,
Colitis in a rheumatologic patient,,1,New addition,2020,1,0,0,,,,,,,,
Colonic diverticular disease,,1,New addition,2020,1,0,0,,,,,,,,
"Comment on Suresh et al. The Short-Term Effects and Tolerability of Low-Viscosity Soluble Fibre on Gastroparesis Patients: A Pilot Clinical Intervention Study. Nutrients 2021, 13, 4298",,1,New addition,2022,1,0,0,,,,,,,,
"Comments on Efficacy of a Synbiotic Containing Lactobacillus paracasei DKGF1 and Opuntia humifusa in Elderly Patients with Irritable Bowel Syndrome: A Randomized, Double-Blind, Placebo-Controlled Trial",,1,New addition,2023,1,0,0,,,,,,,,
Community burden and transmission of acute gastroenteritis caused by norovirus and rotavirus in the Netherlands (RotaFam): a prospective household-based cohort study,,1,New addition,2020,1,0,0,,,,,,,,
Community-Based Gastric Cancer Screening Coupled With a National Colorectal Cancer Screening Program: Baseline Results.,,1,New addition,2021,1,0,0,,,,,,,,
Comparative evaluation of advanced oxidation processes (AOPs) for reducing SARS-CoV-2 viral load from campus sewage water,,1,New addition,2023,1,0,0,,,,,,,,
"Comparative prevalence and diversity of campylobacter jejuni strains in water and human beings over a 1-year period in southwestern alberta, canada",,1,New addition,2021,1,0,0,,,,,,,,
"Compared to histamine-2 receptor antagonist, proton pump inhibitor induces stronger oral-to-gut microbial transmission and gut microbiome alterations: a randomised controlled trial.",,1,New addition,2024,1,0,0,,,,,,,,
Comparing the effectiveness of hand hygiene techniques in reducing the microbial load and covering hand surfaces in healthcare workers: Updated systematic review,,1,New addition,2022,1,0,0,,,,,,,,
Comparison of enhanced recovery after surgery protocol and conventional approach after laparoscopic transperitoneal radical prostatectomy: a retrospective analysis,,1,New addition,2021,1,0,0,,,,,,,,
Comparison of multiple treatment regimens in children with Helicobacter pylori infection: A network meta-analysis,,1,New addition,2023,1,0,0,,,,,,,,
Comparison of the coliplate™ kit with two common e. Coli enumeration methods for water,,1,New addition,2021,1,0,0,,,,,,,,
"Comparison of the efficacies of triple, quadruple and sequential antibiotic therapy in eradicating Helicobacter pylori infection: A randomized controlled trial",,1,New addition,2023,1,0,0,,,,,,,,
Concurrent anemia and stunting among schoolchildren in Wonago district in southern Ethiopia: a cross-sectional multilevel analysis,,1,New addition,2021,1,0,0,,,,,,,,
Connecting microbiome and menopause for healthy ageing,,1,New addition,2022,1,0,0,,,,,,,,
Considerations for gut microbiota and probiotics in patients with diabetes amidst the covid-19 pandemic: A narrative review,,1,New addition,2020,1,0,0,,,,,,,,
Correction: oral ENT-01 Targets Enteric Neurons to Treat Constipation in Parkinson Disease,,1,New addition,2023,1,0,0,,,,,,,,
COVID-19 Pneumonia and Gut Inflammation: The Role of a Mix of Three Probiotic Strains in Reducing Inflammatory Markers and Need for Oxygen Support,,1,New addition,2022,1,0,0,,,,,,,,
COVID-19: An overview and a clinical update,,1,New addition,2021,1,0,0,,,,,,,,
COVID-19: Studying the global pandemic - Foreword,,1,New addition,2020,1,0,0,,,,,,,,
"Creek and Quarry Water Quality at Pipestone National Monument and Pilot Study of Pathogen Detection Methods in Waterfall Mist at Winnewissa Falls, Pipestone, Minnesota, 2018–19",,1,New addition,2023,1,0,0,,,,,,,,
Cryotherapy as an adjunct to cleaning and shaping in endodontics: A review,,1,New addition,2020,1,0,0,,,,,,,,
Cryptosporidium and agriculture: A review,,1,New addition,2024,1,0,0,,,,,,,,
"Curcumin-QingDai Combination for Patients With Active Ulcerative Colitis: A Randomized, Double-Blinded, Placebo-Controlled Trial.",,1,New addition,2024,1,0,0,,,,,,,,
Current and future treatments in the fight against non-alcoholic fatty liver disease,,1,New addition,2020,1,0,0,,,,,,,,
"Current Insights on Bioactive Molecules, Antioxidant, Anti-Inflammatory, and Other Pharmacological Activities of Cinnamomum camphora Linn",,1,New addition,2022,1,0,0,,,,,,,,
Current opinion on prucalopride in gastroparesis and chronic constipation treatment: A focus on patient selection and safety,,1,New addition,2021,1,0,0,,,,,,,,
Current Status of Probiotics as Supplements in the Prevention and Treatment of Infectious Diseases,,1,New addition,2022,1,0,0,,,,,,,,
Current understanding of antibiotic-associated dysbiosis and approaches for its management,,1,New addition,2023,1,0,0,,,,,,,,
Daily Inclusion of Resistant Starch-Containing Potatoes in a Dietary Guidelines for Americans Dietary Pattern Does Not Adversely Affect Cardiometabolic Risk or Intestinal Permeability in Adults with Metabolic Syndrome: A Randomized Controlled Trial.,,1,New addition,2022,1,0,0,,,,,,,,
Degradation rates influence the ability of composite samples to represent 24-hourly means of SARS-CoV-2 and other microbiological target measures in wastewater,,1,New addition,2023,1,0,0,,,,,,,,
"Dependency of sanitation infrastructure on the discharge of faecal coliform and SARS-CoV-2 viral RNA in wastewater from COVID and non-COVID hospitals in Dhaka, Bangladesh",,1,New addition,2023,1,0,0,,,,,,,,
"Depression and anxiety in inflammatory bowel disease: epidemiology, mechanisms and treatment",,1,New addition,2022,1,0,0,,,,,,,,
Detangling Seasonal Relationships of Fecal Contamination Sources and Correlates with Indicators in Michigan Watersheds,,1,New addition,2022,1,0,0,,,,,,,,
"Detection and genetic analysis of Escherichia coli from Tonle Sap Lake and its tributaries in Cambodia: Spatial distribution, seasonal variation, pathogenicity, and antimicrobial resistance",,1,New addition,2022,1,0,0,,,,,,,,
Detection and modeling of Staphylococcus aureus and fecal bacteria in Hawaiian coastal waters and sands,,1,New addition,2024,1,0,0,,,,,,,,
Detection of cancers and advanced adenomas in asymptomatic participants in colorectal cancer screening: A cross-sectional study,,1,New addition,2021,1,0,0,,,,,,,,
"Detection of extended spectrum beta-lactamase genes in strains of Escherichia coli and Klebsiella pneumoniae isolated from recreational water and tertiary hospital waste water in Zaria, Nigeria",,1,New addition,2022,1,0,0,,,,,,,,
Detection of mobile colistin resistance gene mcr-9 in carbapenem-resistant Klebsiella pneumoniae strains of human origin in Europe,,1,New addition,2020,1,0,0,,,,,,,,
Determining the Impact of a School-Based Health Education Package for Prevention of Intestinal Worm Infections in the Philippines: protocol for a Cluster Randomized Intervention Trial,,1,New addition,2020,1,0,0,,,,,,,,
"Diabetic kidney disease: An overview of prevalence, risk factors, and biomarkers",,1,New addition,2021,1,0,0,,,,,,,,
Diagnosis and Treatment of Alcohol-Associated Liver Disease: A Patient-Friendly Summary of the 2019 AASLD Guidelines,,1,New addition,2021,1,0,0,,,,,,,,
Does Family History of Cancer Influence Undergoing Screening and Gastrointestinal Investigations?,,1,New addition,2020,1,0,0,,,,,,,,
Effectiveness of autoclave combination treatment with andosol soil to decrease the number of bacillus cereus,,1,New addition,2020,1,0,0,,,,,,,,
Effectiveness of community and school-based sanitation interventions in improving latrine coverage: a systematic review and meta-analysis of randomized controlled interventions,,1,New addition,2021,1,0,0,,,,,,,,
"Effects of Wholegrain Compared to Refined Grain Intake on Cardiometabolic Risk Markers, Gut Microbiota, and Gastrointestinal Symptoms in Children: A Randomized Crossover Trial.",,1,New addition,2024,1,0,0,,,,,,,,
"Effects of yacon flour associated with an energy restricted diet on intestinal permeability, fecal short chain fatty acids, oxidative stress and inflammation markers levels in adults with obesity or overweight: a randomized, double blind, placebo controlled clinical trial.",,1,New addition,2021,1,0,0,,,,,,,,
Efficacy and appropriateness of novel antibiotics in response to antimicrobial-resistant gram-negative bacteria in patients with sepsis in the ICU,,1,New addition,2022,1,0,0,,,,,,,,
Efficacy and safety of a synbiotic infant formula for the prevention of respiratory and gastrointestinal infections: a randomized controlled trial.,,1,New addition,2024,1,0,0,,,,,,,,
Efficacy and Safety of BB-12 Supplemented Strawberry Yogurt For Healthy Children on Antibiotics (PLAY ON).,,1,New addition,2024,1,0,0,,,,,,,,
Efficacy and safety of combining Chinese medicine with Western medicine for gallstone treatment,,1,New addition,2025,1,0,0,,,,,,,,
Efficacy and safety of etrolizumab in treatment of moderate to severe ulcerative colitis: A systematic review and meta-analysis,,1,New addition,2024,1,0,0,,,,,,,,
Efficacy and Safety of Mifepristone and Misoprostol Compared to Misoprostol Alone for the Resolution of Miscarriage and Intrauterine Fetal Death: A Systematic Review and Meta-Analysis,,1,New addition,2025,1,0,0,,,,,,,,
Efficacy and Safety of Plecanatide in Patients with Chronic Idiopathic Constipation: Pooled Analysis of Two Phase 3 Trials Stratified by Concomitant Acid Suppression Use,,1,New addition,2020,1,0,0,,,,,,,,
"Efficacy and safety of PT20, an iron-based phosphate binder, for the treatment of hyperphosphataemia: a randomized, double-blind, placebo-controlled, dose-ranging, Phase IIb study in patients with haemodialysis-dependent chronic kidney disease.",,1,New addition,2021,1,0,0,,,,,,,,
"Efficacy and Safety of RBX2660 in PUNCH CD3, a Phase III, Randomized, Double-Blind, Placebo-Controlled Trial with a Bayesian Primary Analysis for the Prevention of Recurrent Clostridioides difficile Infection.",,1,New addition,2022,1,0,0,,,,,,,,
Efficacy and safety of saxagliptin for the treatment of type 2 diabetes mellitus,,1,New addition,2020,1,0,0,,,,,,,,
Efficacy and safety of single 40 mg/kg oral praziquantel in the treatment of schistosomiasis in preschool-age versus school-age children: An individual participant data meta-analysis,,1,New addition,2020,1,0,0,,,,,,,,
Efficacy and safety of sotagliflozin in patients with type 2 diabetes: Meta-analysis of randomised controlled trials,,1,New addition,2021,1,0,0,,,,,,,,
"Efficacy and safety of the ghrelin-O-acyltransferase inhibitor BI 1356225 in overweight/obesity: Data from two Phase I, randomised, placebo-controlled studies",,1,New addition,2023,1,0,0,,,,,,,,
Efficacy of Bile Acid Sequestrants in the Treatment of Bile Acid Diarrhea: A Meta-Analysis of Randomized Controlled Trials,,1,New addition,2025,1,0,0,,,,,,,,
Efficacy of different dietary therapy strategies in active pediatric Crohn’s disease: a systematic review and network meta-analysis,,1,New addition,2024,1,0,0,,,,,,,,
Efficacy of mouthwash on reducing salivary SARS-CoV-2 viral load and clinical symptoms: a systematic review and meta-analysis,,1,New addition,2023,1,0,0,,,,,,,,
Efficacy of Oral Medication in Weight Loss Management: A Systematic Review and Network Meta-Analysis,,1,New addition,2025,1,0,0,,,,,,,,
Efficacy of probiotic supplementation and impact on fecal microbiota in patients with inflammatory bowel disease: a systematic review and meta-analysis of randomized controlled trials,,1,New addition,2025,1,0,0,,,,,,,,
Efficacy of surgical treatments for the management of solitary rectal ulcer syndrome: a network meta-analysis,,1,New addition,2024,1,0,0,,,,,,,,
Efficacy of two-week therapy with doxycycline-based quadruple regimen versus levofloxacin concomitant regimen for helicobacter pylori infection: a prospective single-center randomized controlled trial.,,1,New addition,2021,1,0,0,,,,,,,,
Efficacy of Xiyanping in the Treatment of Elderly Patients with Chronic Obstructive Pulmonary Disease and Its Effect on the Expression of GDF-15 and HIF-1alpha in Serum.,,1,New addition,2022,1,0,0,,,,,,,,
"Emergence of varicella-zoster virus resistance to acyclovir: epidemiology, prevention, and treatment",,1,New addition,2021,1,0,0,,,,,,,,
Employing patient‑centric health education for the prevention of parasitic infections,,1,New addition,2024,1,0,0,,,,,,,,
EMPYEMA THORACIS: a COMPARATIVE ANALYSIS OF TB AND NON-TB ETIOLOGY AND THEIR OUTCOMES,,1,New addition,2020,1,0,0,,,,,,,,
Enhancing bedding hygiene in long-term care facilities: investigating the impact of multilevel antimicrobial polymers (MAP-1) on bacterial and MDRO reduction,,1,New addition,2025,1,0,0,,,,,,,,
Enteric Infection-Associated Reactive Arthritis: A Systematic Review and Meta-Analysis,,1,New addition,2024,1,0,0,,,,,,,,
Eosinophilic gastrointestinal diseases in children: A practical review,,1,New addition,2020,1,0,0,,,,,,,,
"Factors Associated with COVID-19 Mortality in Mexico: A Machine Learning Approach Using Clinical, Socioeconomic, and Environmental Data",,1,New addition,2025,1,0,0,,,,,,,,
"Growth Delay in Inflammatory Bowel Diseases: Significance, Causes, and Management",,1,New addition,2021,1,0,0,,,,,,,,
Gut microbiota and physical exercise in obesity and diabetes – A systematic review,,1,New addition,2022,1,0,0,,,,,,,,
Gut microbiota development in very preterm infants following fortification of human milk,,1,New addition,2025,1,0,0,,,,,,,,
Gut microbiota dynamics and association with chronic kidney disease: A longitudinal study within the PREDIMED-Plus trial,,1,New addition,2024,1,0,0,,,,,,,,
Gut Microbiota in a Viral Model of Multiple Sclerosis: Modulation and Pitfalls by Oral Antibiotic Treatment,,1,New addition,2025,1,0,0,,,,,,,,
Gut microbiota in neonates with congenital gastrointestinal surgical conditions: a prospective study,,1,New addition,2020,1,0,0,,,,,,,,
Gut Microbiota-Derived Metabolites and Their Role in the Pathogenesis of Necrotizing Enterocolitis in Preterm Infants: A Narrative Review,,1,New addition,2024,1,0,0,,,,,,,,
"Gut mycobiome and its interaction with diet, gut bacteria and alzheimer's disease markers in subjects with mild cognitive impairment: a pilot study",,1,New addition,2020,1,0,0,,,,,,,,
Health benefits of Lactobacillus rhamnosus GG and Bifidobacterium animalis subspecies lactis BB-12 in children,,1,New addition,2020,1,0,0,,,,,,,,
Impact of short-term overfeeding of saturated or unsaturated fat or sugars on the gut microbiota in relation to liver fat in obese and overweight adults.,,1,New addition,2021,1,0,0,,,,,,,,
Maternal bacteria to correct abnormal gut microbiota in babies born by C-section.,,1,New addition,2020,1,0,0,,,,,,,,
Metformin in gestational diabetes: physiological actions and clinical applications,,1,New addition,2025,1,0,0,,,,,,,,
Minor Changes in the Composition and Function of the Gut Microbiota During a 12-Week Whole Grain Wheat or Refined Wheat Intervention Correlate with Liver Fat in Overweight and Obese Adults.,,1,New addition,2021,1,0,0,,,,,,,,
Nonpharmacological Management of Diabetic Foot Ulcers: An Update,,1,New addition,2021,1,0,0,,,,,,,,
Novel MAXPOWER biological antibacterial liquid for eradicating oral Helicobacter pylori.,,1,New addition,2024,1,0,0,,,,,,,,
Novel probiotic preparation with in vivo gluten-degrading activity and potential modulatory effects on the gut microbiota.,,1,New addition,2024,1,0,0,,,,,,,,
"Novel Selective PPARα Modulator Pemafibrate for Dyslipidemia, Nonalcoholic Fatty Liver Disease (NAFLD), and Atherosclerosis †",,1,New addition,2023,1,0,0,,,,,,,,
Personal protective equipment for preventing highly infectious diseases due to exposure to contaminated body fluids in healthcare staff,,1,New addition,2020,1,0,0,,,,,,,,
Rhamnan sulphate from green algae Monostroma nitidum improves constipation with gut microbiome alteration in double-blind placebo-controlled trial.,,1,New addition,2021,1,0,0,,,,,,,,
Skin preparation for preventing infection following caesarean section,,1,New addition,2020,1,0,0,,,,,,,,
Sweetener influences plasma concentration of flavonoids in humans after an acute intake of a new (poly)phenol-rich beverage.,,1,New addition,2021,1,0,0,,,,,,,,
The effects of 6 mo of supplementation with probiotics and synbiotics on gut microbiota in the adults with prediabetes: A double blind randomized clinical trial.,,1,New addition,2020,1,0,0,,,,,,,,
The effects of Bacillus amyloliquefaciens CECT 5940 supplementation on the health performance and gut morphology of broiler chickens,,1,New addition,2024,1,0,0,,,,,,,,
The Effects of Cardioprotective Antidiabetic Therapy on Microbiota in Patients with Type 2 Diabetes Mellitus—A Systematic Review,,1,New addition,2023,1,0,0,,,,,,,,
The effects of fermented rye products on gut microbiota and their association with metabolic factors in Chinese adults - an explorative study.,,1,New addition,2021,1,0,0,,,,,,,,
The Effects of Immersive Virtual Reality Applications on Enhancing the Learning Outcomes of Undergraduate Health Care Students: Systematic Review With Meta-synthesis,,1,New addition,2023,1,0,0,,,,,,,,
The effects of kefir consumption on human health: a systematic review of randomized controlled trials,,1,New addition,2023,1,0,0,,,,,,,,
The effects of Ophiocordyceps sinensis combined with ACEI/ARB on diabetic kidney disease: A systematic review and meta-analysis,,1,New addition,2023,1,0,0,,,,,,,,
The effects of prebiotics intervention on gut microbiota and short chain fatty acid in healthy adults: a systematic review and meta-analysis,,1,New addition,2023,1,0,0,,,,,,,,
The effects of probiotics on gastrointestinal symptoms and microbiota in patients with celiac disease: a systematic review and meta-analysis on clinical trials,,1,New addition,2023,1,0,0,,,,,,,,
The impact of antibiotics on the metabolic status of obese adults without bacterial infection: A systematic review and meta-analysis,,1,New addition,2020,1,0,0,,,,,,,,
"The relationships between depression, inflammation and self-reported disease activity in IBD and their impact on healthcare usage.",,1,New addition,2025,1,0,0,,,,,,,,
The results of a randomized trial to evaluate the therapeutic efficacy of the interferon α-2b in the complex therapy of viral meningitis in children,,1,New addition,2023,1,0,0,,,,,,,,
The risk of viable but non-culturable (VBNC) enterococci and antibiotic resistance transmission during simulated municipal sludge composting,,1,New addition,2024,1,0,0,,,,,,,,
The role of diet in the pathophysiology and management of irritable bowel syndrome,,1,New addition,2021,1,0,0,,,,,,,,
The role of leaky gut in nonalcoholic fatty liver disease: A novel therapeutic target,,1,New addition,2021,1,0,0,,,,,,,,
The Role of the Gut Microbiome in Pediatric Obesity and Bariatric Surgery,,1,New addition,2022,1,0,0,,,,,,,,
The spleen-strengthening and liver-draining herbal formula treatment of non-alcoholic fatty liver disease by regulation of intestinal flora in clinical trial.,,1,New addition,2022,1,0,0,,,,,,,,
What do we know about nutrient-based strategies targeting molecular mechanisms associated with obesity-related fatty liver disease?,,1,New addition,2023,1,0,0,,,,,,,,
Dietary Ziziphus jujuba Fruit Attenuates Colitis-Associated Tumorigenesis: A Pivotal Role of the NF-κB/IL-6/JAK1/STAT3 Pathway,,1,New addition,2020,1,0,0,,,,,,,,
Drug monitoring in systemic lupus erythematosus,,1,New addition,2022,1,0,0,,,,,,,,
Drugs for Irritable Bowel Syndrome,,1,New addition,2025,1,0,0,,,,,,,,
"Dry sand quality: The case study of a touristic beach from Rio de Janeiro, Brazil; Qualidade da areia seca: Estudo de caso de uma Praia turística do Rio de Janeiro, Brasil",,1,New addition,2020,1,0,0,,,,,,,,
Dynamic changes in the gut microbiota after bismuth quadruple therapy and high-dose dual therapy for Helicobacter pylori eradication.,,1,New addition,2024,1,0,0,,,,,,,,
"Dynamic impact of virome on colitis and colorectal cancer: Immunity, inflammation, prevention and treatment",,1,New addition,2022,1,0,0,,,,,,,,
Dynamics of the gut microbiome in subjects challenged with Shigella sonnei 53G in a controlled human infection model,,1,New addition,2025,1,0,0,,,,,,,,
Editorial Commentary: Is It Time for the Vancomycin Wrap to Become a Universal Recommendation for the Prevention of Septic Arthritis Following Anterior Cruciate Ligament Reconstruction?,,1,New addition,2021,1,0,0,,,,,,,,
"Effect of a combined household-level piped water and sanitation intervention on reported menstrual hygiene practices and symptoms of urogenital infections in rural Odisha, India",,1,New addition,2022,1,0,0,,,,,,,,
Effect of a Multisectoral Agricultural Intervention on HIV Health Outcomes Among Adults in Kenya: A Cluster Randomized Clinical Trial.,,1,New addition,2022,1,0,0,,,,,,,,
"Effect of a new Lactobacillus plantarum product, LRCC5310, on clinical symptoms and virus reduction in children with rotaviral enteritis.",,1,New addition,2020,1,0,0,,,,,,,,
Effect of a novel house (Star home) and toilet design on domestic fly densities in rural Tanzania,,1,New addition,2025,1,0,0,,,,,,,,
Effect of Bifidobacterium infantis NLS super strain in symptomatic coeliac disease patients on long-term gluten-free diet - an exploratory study.,,1,New addition,2020,1,0,0,,,,,,,,
Effect of Early Feeding on Intestinal Permeability and Inflammation Markers in Infants with Genetic Susceptibility to Type 1 Diabetes: A Randomized Clinical Trial.,,1,New addition,2021,1,0,0,,,,,,,,
Effect of electroacupuncture combined with Tuina therapy on gut microbiota in patients with knee osteoarthritis,,1,New addition,2025,1,0,0,,,,,,,,
Effect of electroacupuncture on chemotherapy-induced diarrhea: Study protocol for a randomized controlled trial,,1,New addition,2021,1,0,0,,,,,,,,
Effect of Liujunzi Decoction on Gastroesophageal Reflux Disease: A Systematic Review and Meta Analysis,,1,New addition,2024,1,0,0,,,,,,,,
Effect of long-term azithromycin treatment on gut microbial diversity in children and adolescents with HIV-associated chronic lung disease,,1,New addition,2025,1,0,0,,,,,,,,
Effect of Non-Rotavirus Enteric Infections on Vaccine Efficacy in a ROTASIIL Clinical Trial.,,1,New addition,2024,1,0,0,,,,,,,,
Effect of one prophylactic dose of azithromycin on Bifidobacterium infantis colonization in infants from the Mumta trial.,,1,New addition,2025,1,0,0,,,,,,,,
Effect of probiotic administration during pregnancy on the functional diversity of the gut microbiota in healthy pregnant women.,,1,New addition,2024,1,0,0,,,,,,,,
Effect of probiotic Lactobacillus plantarum Dad-13 powder consumption on the gut microbiota and intestinal health of overweight adults.,,1,New addition,2021,1,0,0,,,,,,,,
Effect of Probiotic Use on Antibiotic Administration Among Care Home Residents: A Randomized Clinical Trial.,,1,New addition,2020,1,0,0,,,,,,,,
Effect of probiotics during vonoprazan-containing triple therapy on gut microbiota in Helicobacter pylori infection: A randomized controlled trial.,,1,New addition,2020,1,0,0,,,,,,,,
Effect of probiotics on gut microbiome in patients with administration of surgical antibiotic prophylaxis: A randomized controlled study.,,1,New addition,2020,1,0,0,,,,,,,,
Effect of probiotics on the intestinal microbiota of hemodialysis patients: a randomized trial.,,1,New addition,2020,1,0,0,,,,,,,,
Effect of Saccharomyces boulardii CNCM I-745 as complementary treatment of Helicobacter pylori infection on gut microbiome,,1,New addition,2020,1,0,0,,,,,,,,
"Effect of Seasonal Variations and Impact Assessment of COVID-19 Lockdown on Water Quality Status of Hindon River, Ghaziabad",,1,New addition,2023,1,0,0,,,,,,,,
"Effect of Sex, Use of Pantoprazole and Polymorphisms in SLC22A1, ABCB1, CES1, CYP3A5 and CYP2D6 on the Pharmacokinetics and Safety of Dabigatran",,1,New addition,2020,1,0,0,,,,,,,,
Effect of summer acupoint application treatment (SAAT) on gut microbiota in healthy Asian adults: A randomized controlled trial.,,1,New addition,2023,1,0,0,,,,,,,,
Effect of Sustainably Sourced Protein Consumption on Nutrient Intake and Gut Health in Older Adults: A Systematic Review,,1,New addition,2024,1,0,0,,,,,,,,
Effect of tebipenem pivoxil hydrobromide on the normal gut microbiota of a healthy adult population in Sweden: a randomised controlled trial.,,1,New addition,2024,1,0,0,,,,,,,,
"Effect of the probiotic strain, Lactiplantibacillus plantarum P9, on chronic constipation: A randomized, double-blind, placebo-controlled study.",,1,New addition,2023,1,0,0,,,,,,,,
Effectiveness and feasibility of an evidence-based intraoperative infection control program targeting improved basic measures; a post-implementation prospective case-cohort study,,1,New addition,2022,1,0,0,,,,,,,,
Effectiveness and Safety of Chinese Medicine Decoctions for Behcet's Disease: A Systematic Review and Meta-Analysis,,1,New addition,2021,1,0,0,,,,,,,,
Effectiveness and safety of interventions to manage childhood overweight and obesity: An Overview of Cochrane systematic reviews,,1,New addition,2021,1,0,0,,,,,,,,
"Effectiveness of a Balanced Nine-Strain Synbiotic in Primary-Care Irritable Bowel Syndrome Patients-A Multi-Center, Randomized, Double-Blind, Placebo-Controlled Trial.",,1,New addition,2024,1,0,0,,,,,,,,
Effectiveness of a killed whole-cell oral cholera vaccine in Bangladesh: further follow-up of a cluster-randomised trial.,,1,New addition,2021,1,0,0,,,,,,,,
Effectiveness of different therapy protocols in preemies with intestinal hypomotility.,,1,New addition,2025,1,0,0,,,,,,,,
Effectiveness of eradication therapy for Helicobacter pylori infection in Africa: a systematic review and meta-analysis,,1,New addition,2023,1,0,0,,,,,,,,
Effectiveness of reducing bacterial air contamination when covering sterile goods in the operating room setting: a systematic review and meta-analysis,,1,New addition,2024,1,0,0,,,,,,,,
